,SensorId, TimeStamp (s), AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),Class
0,1,0.0,0.0663762,-0.99955457,0.08010567,-0.18647251,0.77140713,-1.01571977,-47.03303146,0.99386144,-99.3276825,0.13791808,-0.25739309,-0.19943962,0.99999523,-0.00119965,0.00224827,0.00173773,-0.0007985,0.0048738,0.00493365,2
1,1,0.01,0.0587487,-1.00186419,0.08225001,-0.3639231,0.52583438,-0.74662012,-47.0914917,1.46156096,-99.3276825,0.13466619,-0.2503438,-0.19339633,0.99999559,-0.00117149,0.00218664,0.00168513,0.00711545,0.00688976,0.00685403,2
2,1,0.02,0.05218454,-1.00400352,0.08167342,0.06743287,0.33961579,-0.61834466,-46.44840622,0.76001167,-99.44460297,0.18635549,-0.43255866,-0.19729945,0.99999017,-0.00161974,0.00377757,0.00171561,0.01310098,0.00595976,0.0084875,2
3,1,0.03,0.04774672,-1.0088383,0.07937107,0.32775599,-0.38709185,-0.69890416,-46.76995087,1.14001751,-99.59075928,0.18939863,-0.42529547,-0.20084894,0.99999022,-0.00164629,0.00371428,0.00174659,0.01550333,0.00259653,0.01283708,2
4,1,0.04,0.05421843,-1.0105722,0.07537547,0.40573287,-0.82046229,-0.85379869,-46.76995087,1.14001751,-99.59075928,0.19298299,-0.41615787,-0.20864867,0.99999034,-0.00167747,0.00363471,0.00181467,0.00929714,-0.00156515,0.0147234,2
5,1,0.05,0.06108562,-1.00797749,0.0655619,0.52606797,-0.45420632,-0.78936481,-45.51300812,0.87693655,-99.94153595,0.19798315,-0.40794057,-0.21293516,0.99999052,-0.0017211,0.00356314,0.00185204,0.00236947,-0.01124771,0.01190906,2
6,1,0.06,0.0701131,-0.99652964,0.06476609,0.53227746,0.43199673,-0.70496887,-46.8284111,1.28617358,-99.79537964,0.20359841,-0.40123928,-0.20846938,0.99999064,-0.00177035,0.00350469,0.001813,-0.0073091,-0.01129681,0.00109087,2
7,1,0.07,0.0709346,-0.99462336,0.07149656,0.37777752,1.29897726,-0.65465665,-47.06226349,1.14001751,-99.97076416,0.1883029,-0.32637322,-0.19251364,0.99999326,-0.00163846,0.00285089,0.00167531,-0.00782165,-0.00445755,-0.00026338,2
8,1,0.08,0.06774391,-0.99813896,0.07979869,-0.01740014,1.3812139,-0.61404246,-47.17918777,0.935399,-99.59075928,0.18904281,-0.32129869,-0.17829788,0.99999356,-0.00164534,0.00280642,0.00155131,-0.00335257,0.00379191,0.00360651,2
9,1,0.09,0.06260822,-1.00202489,0.08638877,-0.39141026,1.25527501,-0.6850245,-47.17918777,0.935399,-99.59075928,0.18597534,-0.31542256,-0.16501796,0.99999386,-0.00161897,0.00275491,0.00143558,0.00216716,0.01010265,0.00759125,2
10,1,0.1,0.05914331,-1.00507486,0.08545013,-0.54812515,0.94073695,-0.76458126,-46.41917419,0.87693655,-98.91844177,0.18114224,-0.30851278,-0.15470138,0.99999422,-0.00157712,0.00269441,0.00134576,0.00594333,0.00904591,0.01031506,2
11,1,0.11,0.05582887,-1.01116264,0.07592038,0.03366223,0.33953306,-0.98135608,-46.62379456,1.57848585,-99.53230286,0.18175577,-0.2989842,-0.15060769,0.99999452,-0.00158268,0.0026112,0.00131015,0.00977531,-0.00090141,0.01544916,2
12,1,0.12,0.06078225,-1.00743783,0.06978188,-0.01857095,0.26950836,-1.08732164,-45.42531204,0.17538731,-99.06459808,0.09221345,-0.29706198,-0.13758449,0.99999565,-0.0008016,0.00259331,0.00119856,0.0046886,-0.00635431,0.01164252,2
13,1,0.13,0.07275641,-1.00016642,0.06966843,0.03012234,0.65233356,-1.05633223,-46.21455765,1.19848001,-99.29844666,0.09297563,-0.28701442,-0.13033143,0.99999595,-0.00080851,0.00250559,0.00113532,-0.00769385,-0.00478162,0.00523211,2
